epoch,train_loss,train_acc,train_value_loss,val_loss,val_acc,val_value_loss,random_wins,rai1_wins
1/20,2.7353,0.2643,0.0669,1.8759,0.4543,0.0656,0.66,0.71
2/20,1.6208,0.4991,0.0651,1.4833,0.5200,0.0644,0.81,0.80
3/20,1.3732,0.5476,0.0642,1.3640,0.5445,0.0639,0.94,0.92
4/20,1.2552,0.5752,0.0636,1.3024,0.5570,0.0633,0.98,0.90
5/20,1.1751,0.5967,0.0632,1.2776,0.5659,0.0631,0.89,0.93
6/20,1.1120,0.6151,0.0629,1.2699,0.5679,0.0628,0.92,0.94
7/20,1.0578,0.6320,0.0627,1.2700,0.5694,0.0628,0.90,0.92
8/20,1.0094,0.6475,0.0626,1.2866,0.5692,0.0627,0.95,0.94
9/20,0.9642,0.6626,0.0624,1.2974,0.5679,0.0626,0.95,0.94
10/20,0.9218,0.6768,0.0624,1.3186,0.5661,0.0625,0.94,0.95
11/20,0.8820,0.6904,0.0623,1.3427,0.5647,0.0627,0.96,0.95
12/20,0.8443,0.7035,0.0622,1.3738,0.5621,0.0634,0.98,0.91
13/20,0.8088,0.7157,0.0622,1.4076,0.5601,0.0625,0.91,0.90
14/20,0.7752,0.7275,0.0622,1.4409,0.5614,0.0626,0.95,0.96
15/20,0.7437,0.7383,0.0621,1.4884,0.5570,0.0626,0.94,0.95
16/20,0.7141,0.7488,0.0621,1.5273,0.5559,0.0626,0.90,0.92
17/20,0.6870,0.7580,0.0621,1.5636,0.5536,0.0625,0.91,0.93
18/20,0.6610,0.7670,0.0621,1.6071,0.5531,0.0628,0.91,0.94
19/20,0.6374,0.7748,0.0620,1.6560,0.5514,0.0626,0.93,0.97
20/20,0.6148,0.7829,0.0620,1.6943,0.5499,0.0628,0.97,0.93
