epoch,train_loss,train_acc,train_value_loss,val_loss,val_acc,val_value_loss,random_wins,rai1_wins
1/20,2.7499,0.2605,0.0717,1.9247,0.4430,0.0702,0.53,0.60
2/20,1.6392,0.4944,0.0695,1.4983,0.5146,0.0691,0.79,0.80
3/20,1.3801,0.5441,0.0685,1.3689,0.5401,0.0682,0.85,0.84
4/20,1.2593,0.5719,0.0679,1.3123,0.5527,0.0681,0.91,0.96
5/20,1.1774,0.5937,0.0675,1.2832,0.5596,0.0676,0.93,0.91
6/20,1.1127,0.6129,0.0672,1.2755,0.5628,0.0676,0.93,0.88
7/20,1.0565,0.6305,0.0670,1.2751,0.5650,0.0674,0.95,0.96
8/20,1.0060,0.6470,0.0669,1.2895,0.5634,0.0673,0.93,0.91
9/20,0.9588,0.6629,0.0668,1.3092,0.5617,0.0671,0.93,0.94
10/20,0.9139,0.6784,0.0667,1.3401,0.5593,0.0671,0.90,0.96
11/20,0.8719,0.6928,0.0666,1.3647,0.5601,0.0671,0.95,0.95
12/20,0.8320,0.7070,0.0666,1.4058,0.5563,0.0672,0.95,0.92
13/20,0.7941,0.7200,0.0665,1.4348,0.5557,0.0671,0.96,0.90
14/20,0.7585,0.7326,0.0665,1.4802,0.5529,0.0671,0.95,0.96
15/20,0.7253,0.7442,0.0665,1.5187,0.5514,0.0673,0.91,0.91
16/20,0.6942,0.7549,0.0665,1.5693,0.5488,0.0672,0.91,0.94
17/20,0.6647,0.7654,0.0664,1.6161,0.5456,0.0672,0.98,0.91
18/20,0.6380,0.7746,0.0664,1.6528,0.5464,0.0672,0.96,0.95
19/20,0.6120,0.7836,0.0664,1.6975,0.5454,0.0673,0.88,0.92
20/20,0.5888,0.7917,0.0664,1.7489,0.5421,0.0674,0.96,0.93
