epoch,train loss,train acc,val loss,val acc,random wins,RAI 1 wins
"1/20",2.5434, 31.27,   1.7574,  47.49, 90.0, 10.0
"2/20", 1.5468, 51.11,   1.4419,  52.82, 93.0, 26.0
"3/20", 1.3369, 55.33,   1.3476,  54.72, 96.0, 34.0
"4/20", 1.2280, 58.03,   1.3016,  55.36, 98.0, 42.0
"5/20", 1.1511, 60.18,   1.2826,  55.96, 98.0, 44.0
"6/20", 1.0875, 62.07,   1.2753,  56.41, 98.0, 48.0
"7/20", 1.0314, 63.89,   1.2799,  56.24, 99.0, 57.0
"8/20", 0.9796, 65.59,   1.2959,  56.22, 94.0, 59.0
"9/20", 0.9309, 67.29,   1.3278,  56.12, 98.0, 43.0
"10/20", 0.8849, 68.87,   1.3633,  55.82, 99.0, 58.0
"11/20", 0.8415, 70.39,   1.3884,  55.57, 94.0, 51.0
"12/20", 0.8003, 71.82,   1.4293,  55.39, 97.0, 47.0
"13/20", 0.7614, 73.18,   1.4743,  55.24, 97.0, 46.0
"14/20", 0.7256, 74.44,   1.5170,  54.84, 95.0, 54.0
"15/20", 0.6914, 75.64,   1.5619,  54.78, 98.0, 53.0
"16/20", 0.6602, 76.72,   1.6136,  54.52, 97.0, 61.0
"17/20", 0.6312, 77.75,   1.6606,  54.34, 95.0, 58.0
"18/20", 0.6041, 78.68,   1.7008,  54.24, 97.0, 53.0
"19/20", 0.5795, 79.54,   1.7539,  54.10, 99.0, 54.0
"20/20", 0.5572, 80.31,   1.7968,  53.97, 93.0, 54.0
